1,4
1,18
1,37
1,73
1,96
4,5
4,42
4,49
5,6
5,89
6,8
8,10
10,12
12,13
12,91
13,14
14,17
14,47
14,55
17,27
17,46
17,79
17,99
18,19
19,20
20,21
21,22
22,23
22,40
23,24
23,43
24,25
25,26
26,27
28,32
28,36
28,40
28,43
31,32
31,36
32,33
32,40
32,42
32,50
33,34
34,35
35,36
36,43
36,47
36,54
37,38
37,42
38,39
39,40
40,41
41,42
43,44
43,48
44,45
45,46
46,47
47,48
49,50
49,60
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
61,62
61,68
62,63
63,64
64,65
65,66
66,67
67,68
69,70
69,72
70,71
71,72
73,74
74,75
75,76
76,77
77,78
78,79
80,81
80,99
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,96
89,90
89,92
90,91
91,93
93,95
92,94
